intent,intent_confidence,low_confidence,sentiment_current,sentiment_trend,sentiment_min_so_far,turn_count,transcript_length,hold_time_proxy,escalation_probability,escalated
cancel_service,0.9349659619036883,0,-0.026497036937432883,-0.26685557183737285,-0.7412011156430096,19,305,18.400543980795067,0.7528774646362879,1
sales_inquiry,0.5367447965029537,0,0.31726170732207803,-0.31792535946203926,-0.6702354498418401,9,129,5.970301371481163,0.4880806193731866,0
billing_inquiry,0.6452560499996463,0,-0.03949002889937503,-0.19894860256420555,-0.42574165141683823,9,126,24.43646656074003,0.2732937380329173,0
sales_inquiry,0.7987178764315418,0,0.25990969068937464,-0.17383687103504897,-0.14925862152185934,7,96,1.485932061196644,0.08649053393322265,0
sales_inquiry,0.7918934479397194,0,-0.37550522172914036,-0.09063366098718846,-0.6702839290887004,3,46,5.308797722369474,0.17168769469300454,0
billing_inquiry,0.8162857692862063,0,0.0436836454334459,-0.07969036943503263,-0.30988060402450657,11,168,6.006121459799263,0.05317281584316891,0
fraud_report,0.7474374024719366,0,-0.4111750297278478,-0.06394270489012138,-0.6651333250654301,8,122,2.5529194375985984,0.21208670764457385,0
service_outage_status,0.7526122928196736,0,-0.720068840412409,-0.32914766604693757,-1.0,17,277,81.72398162550634,0.9,1
service_outage_status,0.6982832074379267,0,-0.11177577094642951,-0.11432776411478206,-0.4091556716231287,5,73,0.6759671859484124,0.08041338248719013,0
sales_inquiry,0.6290293711205603,0,-0.12213088752760642,-0.2145048946881337,-0.8026216661068781,11,180,52.33819773015278,0.6642633172830232,0
service_outage_status,0.8620933017122632,0,0.2183975958748398,-0.06537298723505,0.015254345666236721,5,98,3.804792896936303,0.04382997271981387,0
account_management,0.5933044321129625,0,0.41294013696706455,-0.2661705942526808,-0.3721017482896213,14,198,25.750320611496825,0.40825061286210923,0
technical_support,0.9102996407035129,0,0.24734264508026338,-0.15218459675530915,-0.33997029614667085,15,235,7.1461254941237975,0.1774032000162303,0
account_management,0.8335118039651859,0,-0.5409038164235702,-0.4878316878772598,-1.0,18,274,28.55054650967523,0.9,1
general_inquiry,0.537749170267784,0,0.07234482610954418,-0.18598791992643246,-0.5054444647753995,10,139,7.789106893727604,0.2043050633723514,1
sales_inquiry,0.9537588867462536,0,-0.032595268838901875,-0.19510877951237462,-0.4700106176639536,13,181,6.447485039805235,0.2799416434993237,1
account_management,0.6106599794863272,0,0.5255406130937434,-0.31408843792464536,-0.4375591545898633,10,156,2.895227131568891,0.3214608727384195,1
general_inquiry,0.9116129445485772,0,0.45807399278867444,-0.13938183199056964,0.20983858903930594,8,129,3.066220718938605,0.05598446090210523,0
billing_inquiry,0.925089838362137,0,0.28093358025725546,-0.19177848345603593,-0.04759375455215081,3,41,12.644042105535187,0.04242703023183535,0
cancel_service,0.7148155042755355,0,0.914029321092427,-0.1210071893950872,0.513192694207995,9,129,9.21847658036052,0.03556469220479972,0
general_inquiry,0.594498990424587,0,-0.3706458877717208,-0.19928862611674614,-1.0,6,84,5.9533236959646,0.4619203795609528,0
fraud_report,0.7423059819773503,0,-0.4694937741596241,-0.29573575934955243,-1.0,19,277,32.90817810476285,0.9,1
billing_inquiry,0.6026214319344825,0,0.030330906478016853,-0.11446330294192325,-0.3137043707360034,15,172,8.929272219898024,0.1381160371735875,0
